Type of incident,Year,Date occurred,Region,Province,City_Municipality,Affected_Brgys,Affected_FAM,Affected_PERs,Evacuation (Cummulative),Evacuation (Now),"INSIDE_ECs_FAM
(Cummulative)","INSIDE_ECs_FAM
(Now)","INSIDE_ECs_PERs
(Cummulative)","INSIDE_ECs_PERs
(Now)","OUTSIDE_ECs_FAM
(Cummulative)","OUTSIDE_ECs_FAM
(Now)","OUTSIDE_ECs_PERs
(Cummulative)","OUTSIDE_ECs_PERs
(Now)",Destroyed houses,Partially damaged houses,Total,Region Code,Province Code,City_Municipality Code
Taal Volcano Eruption,2020,12-Jan-20,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",Caloocan City,0,51,210,0,0,0,0,0,0,51,51,210,210,0,0,0,PH130000000,PH137500000,PH137501000
Taal Volcano Eruption,2020,12-Jan-20,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",Makati City,0,20,78,0,0,0,0,0,0,20,20,78,78,0,0,0,PH130000000,PH137600000,PH137602000
Taal Volcano Eruption,2020,12-Jan-20,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",Malabon City,0,32,141,0,0,0,0,0,0,32,32,141,141,0,0,0,PH130000000,PH137500000,PH137502000
Taal Volcano Eruption,2020,12-Jan-20,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",Mandaluyong City,0,72,273,0,0,0,0,0,0,72,72,273,273,0,0,0,PH130000000,PH137400000,PH137401000
Taal Volcano Eruption,2020,12-Jan-20,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",Manila City,0,213,827,0,0,0,0,0,0,210,210,814,814,0,0,0,PH130000000,PH133900000,PH133900000
Taal Volcano Eruption,2020,12-Jan-20,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",Marikina City,0,1,5,0,0,0,0,0,0,1,1,5,5,0,0,0,PH130000000,PH137400000,PH137402000
Taal Volcano Eruption,2020,12-Jan-20,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",Muntinlupa City,0,367,1406,0,0,0,0,0,0,367,367,1406,1406,0,0,0,PH130000000,PH137600000,PH137603000
Taal Volcano Eruption,2020,12-Jan-20,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",Navotas,0,12,48,0,0,0,0,0,0,12,12,48,48,0,0,0,PH130000000,PH137500000,PH137503000
Taal Volcano Eruption,2020,12-Jan-20,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",Paranaque City,0,123,446,0,0,0,0,0,0,123,123,446,446,0,0,0,PH130000000,PH137600000,PH137604000
Taal Volcano Eruption,2020,12-Jan-20,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",Taguig City,0,590,2257,0,0,0,0,0,0,590,590,2257,2257,0,0,0,PH130000000,PH137600000,PH137607000
Taal Volcano Eruption,2020,12-Jan-20,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",Quezon City,0,66,281,0,0,0,0,0,0,61,61,262,262,0,0,0,PH130000000,PH137400000,PH137404000
Taal Volcano Eruption,2020,12-Jan-20,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",San Juan City,0,17,56,0,0,0,0,0,0,17,17,56,56,0,0,0,PH130000000,PH137400000,PH137405000
Taal Volcano Eruption,2020,12-Jan-20,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",Valenzuela City,0,43,212,0,0,0,0,0,0,43,43,212,212,0,0,0,PH130000000,PH137500000,PH137504000
Taal Volcano Eruption,2020,12-Jan-20,REGION I (ILOCOS REGION),La Union,CITY OF SAN FERNANDO (Capital),0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,PH010000000,PH013300000,PH013314000
Taal Volcano Eruption,2020,12-Jan-20,REGION I (ILOCOS REGION),Pangasinan,Calasiao,0,9,55,0,0,0,0,0,0,0,0,0,0,0,0,0,PH010000000,PH015500000,PH015517000
Taal Volcano Eruption,2020,12-Jan-20,REGION I (ILOCOS REGION),Pangasinan,Dagupan City,0,9,36,0,0,0,0,0,0,0,0,0,0,0,0,0,PH010000000,PH015500000,PH015518000
Taal Volcano Eruption,2020,12-Jan-20,REGION I (ILOCOS REGION),Pangasinan,Mangaldan,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,PH010000000,PH015500000,PH015526000
Taal Volcano Eruption,2020,12-Jan-20,REGION I (ILOCOS REGION),Pangasinan,Rosales,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,PH010000000,PH015500000,PH015531000
Taal Volcano Eruption,2020,12-Jan-20,REGION I (ILOCOS REGION),Pangasinan,Santo Tomas,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,PH010000000,PH015500000,PH015540000
Taal Volcano Eruption,2020,12-Jan-20,REGION I (ILOCOS REGION),Pangasinan,CITY OF URDANETA,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,PH010000000,PH015500000,PH015546000
Taal Volcano Eruption,2020,12-Jan-20,REGION III (CENTRAL LUZON),Bataan,Hermosa,0,3,11,0,0,0,0,0,0,3,3,11,11,0,0,0,PH030000000,PH030800000,PH030805000
Taal Volcano Eruption,2020,12-Jan-20,REGION III (CENTRAL LUZON),Bulacan,Baliuag,0,2,11,0,0,0,0,0,0,2,2,11,11,0,0,0,PH030000000,PH031400000,PH031403000
Taal Volcano Eruption,2020,12-Jan-20,REGION III (CENTRAL LUZON),Bulacan,Calumpit,0,1,7,0,0,0,0,0,0,1,1,7,7,0,0,0,PH030000000,PH031400000,PH031407000
Taal Volcano Eruption,2020,12-Jan-20,REGION III (CENTRAL LUZON),Bulacan,Guiguinto,0,2,4,0,0,0,0,0,0,2,2,4,4,0,0,0,PH030000000,PH031400000,PH031408000
Taal Volcano Eruption,2020,12-Jan-20,REGION III (CENTRAL LUZON),Bulacan,Hagonoy,0,1,4,0,0,0,0,0,0,1,1,4,4,0,0,0,PH030000000,PH031400000,PH031409000
Taal Volcano Eruption,2020,12-Jan-20,REGION III (CENTRAL LUZON),Bulacan,City of Malolos (capital),0,7,14,0,0,0,0,0,0,7,7,14,14,0,0,0,PH030000000,PH031400000,PH031410000
Taal Volcano Eruption,2020,12-Jan-20,REGION III (CENTRAL LUZON),Bulacan,Plaridel,0,1,4,0,0,0,0,0,0,1,1,4,4,0,0,0,PH030000000,PH031400000,PH031417000
Taal Volcano Eruption,2020,12-Jan-20,REGION III (CENTRAL LUZON),Nueva Ecija,Cabanatuan City,0,3,5,0,0,0,0,0,0,3,3,5,5,0,0,0,PH030000000,PH034900000,PH034903000
Taal Volcano Eruption,2020,12-Jan-20,REGION III (CENTRAL LUZON),Nueva Ecija,Cabiao,0,3,9,0,0,0,0,0,0,3,3,9,9,0,0,0,PH030000000,PH034900000,PH034904000
Taal Volcano Eruption,2020,12-Jan-20,REGION III (CENTRAL LUZON),Nueva Ecija,Talavera,0,4,16,0,0,0,0,0,0,4,4,16,16,0,0,0,PH030000000,PH034900000,PH034930000
Taal Volcano Eruption,2020,12-Jan-20,REGION III (CENTRAL LUZON),Pampanga,Angeles City,0,5,18,0,0,0,0,0,0,5,5,18,18,0,0,0,PH030000000,PH035400000,PH035401000
Taal Volcano Eruption,2020,12-Jan-20,REGION III (CENTRAL LUZON),Pampanga,Apalit,0,17,71,0,0,0,0,0,0,17,17,71,71,0,0,0,PH030000000,PH035400000,PH035402000
Taal Volcano Eruption,2020,12-Jan-20,REGION III (CENTRAL LUZON),Pampanga,Masantol,0,3,9,0,0,0,0,0,0,3,3,9,9,0,0,0,PH030000000,PH035400000,PH035412000
Taal Volcano Eruption,2020,12-Jan-20,REGION III (CENTRAL LUZON),Pampanga,Mexico,0,17,57,0,0,0,0,0,0,17,17,57,57,0,0,0,PH030000000,PH035400000,PH035413000
Taal Volcano Eruption,2020,12-Jan-20,REGION III (CENTRAL LUZON),Pampanga,City of San Fernando (capital),0,2,5,0,0,0,0,0,0,2,2,5,5,0,0,0,PH030000000,PH035400000,PH035416000
Taal Volcano Eruption,2020,12-Jan-20,REGION III (CENTRAL LUZON),Pampanga,Santa Ana,0,6,24,0,0,0,0,0,0,6,6,24,24,0,0,0,PH030000000,PH035400000,PH035419000
Taal Volcano Eruption,2020,12-Jan-20,REGION III (CENTRAL LUZON),Tarlac,Capas,0,1,6,0,0,0,0,0,0,1,1,6,6,0,0,0,PH030000000,PH036900000,PH036904000
Taal Volcano Eruption,2020,12-Jan-20,REGION III (CENTRAL LUZON),Tarlac,Paniqui,0,1,4,0,0,0,0,0,0,1,1,4,4,0,0,0,PH030000000,PH036900000,PH036910000
Taal Volcano Eruption,2020,12-Jan-20,REGION III (CENTRAL LUZON),Tarlac,City of Tarlac (capital),0,3,17,0,0,0,0,0,0,3,3,17,17,0,0,0,PH030000000,PH036900000,PH036916000
Taal Volcano Eruption,2020,12-Jan-20,REGION III (CENTRAL LUZON),Zambales,Iba (capital),0,3,9,0,0,0,0,0,0,3,3,9,9,0,0,0,PH030000000,PH037100000,PH037105000
Taal Volcano Eruption,2020,12-Jan-20,REGION III (CENTRAL LUZON),Zambales,Olongapo City,0,5,17,0,0,0,0,0,0,5,5,17,17,0,0,0,PH030000000,PH037100000,PH037107000
Taal Volcano Eruption,2020,12-Jan-20,REGION III (CENTRAL LUZON),Zambales,San Felipe,0,4,9,0,0,0,0,0,0,4,4,9,9,0,0,0,PH030000000,PH037100000,PH037110000
Taal Volcano Eruption,2020,12-Jan-20,REGION III (CENTRAL LUZON),Zambales,San Narciso,0,5,22,0,0,0,0,0,0,5,5,22,22,0,0,0,PH030000000,PH037100000,PH037112000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Batangas,Agoncillo,21,12128,44053,0,0,0,0,0,0,0,0,0,0,1176,2790,3966,PH040000000,PH041000000,PH041001000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Batangas,Alitagtag,0,1853,6178,13,0,1148,0,3866,0,705,0,2312,0,0,0,0,PH040000000,PH041000000,PH041002000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Batangas,Balayan,0,5212,18294,46,0,4302,0,14929,0,910,0,3365,0,0,0,0,PH040000000,PH041000000,PH041003000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Batangas,Balete,13,7055,25421,4,1,417,51,1525,203,0,0,0,0,0,671,671,PH040000000,PH041000000,PH041004000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Batangas,Batangas City (capital),0,11962,44562,45,0,4214,0,16663,0,7748,58,27899,206,0,0,0,PH040000000,PH041000000,PH041005000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Batangas,Bauan,0,8384,31585,54,0,5422,0,20861,0,2962,0,10724,0,0,0,0,PH040000000,PH041000000,PH041006000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Batangas,Calaca,0,2265,8381,16,0,2265,0,8381,0,0,0,0,0,0,0,0,PH040000000,PH041000000,PH041007000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Batangas,Calatagan,0,2226,8002,22,0,1162,0,4184,0,1064,0,3818,0,0,0,0,PH040000000,PH041000000,PH041008000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Batangas,Cuenca,8,441,1438,13,0,1095,0,3761,0,0,0,0,0,0,0,0,PH040000000,PH041000000,PH041009000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Batangas,Ibaan,0,2030,7420,28,2,1442,458,5450,1798,607,0,2035,0,0,0,0,PH040000000,PH041000000,PH041010000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Batangas,Laurel,21,10496,42019,11,2,1158,248,4730,768,0,0,0,0,136,401,537,PH040000000,PH041000000,PH041011000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Batangas,Lemery,46,20151,93157,0,0,0,0,0,0,0,0,0,0,323,2431,2754,PH040000000,PH041000000,PH041012000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Batangas,Lian,0,937,3499,13,0,531,0,1834,0,406,0,1665,0,0,0,0,PH040000000,PH041000000,PH041013000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Batangas,Lipa City,0,7476,31471,17,0,2695,0,10511,0,4781,0,20960,0,0,0,0,PH040000000,PH041000000,PH041014000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Batangas,Lobo,0,186,728,0,0,0,0,0,0,186,0,728,0,0,0,0,PH040000000,PH041000000,PH041015000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Batangas,Mabini,0,1182,4031,8,0,378,0,1736,0,804,0,2295,0,0,0,0,PH040000000,PH041000000,PH041016000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Batangas,Malvar,0,7061,28799,12,0,1418,0,5400,0,5643,0,23399,0,0,0,0,PH040000000,PH041000000,PH041017000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Batangas,Mataas Na Kahoy,0,1121,3998,9,0,746,0,2607,0,375,0,1391,0,0,0,0,PH040000000,PH041000000,PH041018000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Batangas,Nasugbu,0,3057,10721,21,0,2281,0,8142,0,776,0,2579,0,0,0,0,PH040000000,PH041000000,PH041019000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Batangas,Padre Garcia,0,708,3031,11,0,708,0,3031,0,0,0,0,0,0,0,0,PH040000000,PH041000000,PH041020000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Batangas,Rosario,0,2895,11920,33,0,1220,0,4840,0,1675,0,7080,0,0,0,0,PH040000000,PH041000000,PH041021000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Batangas,San Jose,0,2123,8386,20,0,1154,0,4837,0,386,0,1484,0,0,0,0,PH040000000,PH041000000,PH041022000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Batangas,San Juan,0,1429,5070,10,0,333,0,1176,0,1096,0,3894,0,0,0,0,PH040000000,PH041000000,PH041023000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Batangas,San Luis,0,5135,17833,27,1,4077,7,14340,29,1223,0,3995,0,0,0,0,PH040000000,PH041000000,PH041024000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Batangas,San Nicolas,18,6601,26618,0,0,0,0,0,0,0,0,0,0,679,628,1307,PH040000000,PH041000000,PH041025000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Batangas,San Pascual,0,5721,19984,39,0,3021,0,10436,0,2833,0,10023,0,0,0,0,PH040000000,PH041000000,PH041026000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Batangas,Santa Teresita,17,3866,12914,3,0,265,0,876,0,77,0,212,0,0,74,74,PH040000000,PH041000000,PH041027000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Batangas,Santo Tomas,0,2793,11935,14,0,2769,0,11815,0,24,0,120,0,0,0,0,PH040000000,PH041000000,PH041028000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Batangas,Taal,42,18605,61526,2,0,19,0,56,0,0,0,0,0,116,933,1049,PH040000000,PH041000000,PH041029000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Batangas,Talisay,21,10748,51029,5,3,437,342,1612,1284,0,0,0,0,962,249,1211,PH040000000,PH041000000,PH041030000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Batangas,City of Tanauan,21,6889,25746,57,0,6561,0,24505,0,328,0,1241,0,2097,3978,6075,PH040000000,PH041000000,PH041031000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Batangas,Taysan,0,822,3039,11,0,264,0,1004,0,558,0,2035,0,0,0,0,PH040000000,PH041000000,PH041032000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Batangas,Tuy,0,2117,8078,23,0,827,0,2807,0,1290,0,5271,0,0,0,0,PH040000000,PH041000000,PH041034000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Cavite,Alfonso,0,2856,10979,14,0,1728,0,7056,0,1128,57,3923,216,0,0,0,PH040000000,PH042100000,PH042101000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Cavite,Amadeo,0,881,3274,2,0,400,0,1540,0,481,64,1734,164,0,0,0,PH040000000,PH042100000,PH042102000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Cavite,Bacoor,0,514,1849,0,0,0,0,0,0,514,102,1849,370,0,0,0,PH040000000,PH042100000,PH042103000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Cavite,Carmona,0,328,1253,0,0,0,0,0,0,328,53,1253,216,0,0,0,PH040000000,PH042100000,PH042104000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Cavite,Cavite City,0,38,115,0,0,0,0,0,0,38,13,115,45,0,0,0,PH040000000,PH042100000,PH042105000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Cavite,Dasmariñas,0,691,2685,11,0,394,0,1445,0,297,0,1240,0,0,0,0,PH040000000,PH042100000,PH042106000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Cavite,Gen. Mariano Alvarez,0,290,1162,0,0,0,0,0,0,290,10,1162,45,0,0,0,PH040000000,PH042100000,PH042123000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Cavite,General Emilio Aguinaldo,0,128,489,2,0,90,0,369,0,38,13,120,45,0,0,0,PH040000000,PH042100000,PH042107000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Cavite,General Trias,0,1394,5447,16,0,402,0,1603,0,992,0,3844,0,0,0,0,PH040000000,PH042100000,PH042108000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Cavite,Imus,0,897,3581,0,0,0,0,0,0,897,33,3581,113,0,0,0,PH040000000,PH042100000,PH042109000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Cavite,Indang,0,368,1330,1,0,26,0,77,0,342,0,1253,0,0,0,0,PH040000000,PH042100000,PH042110000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Cavite,Kawit,0,79,286,0,0,0,0,0,0,79,0,286,0,0,0,0,PH040000000,PH042100000,PH042111000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Cavite,Magallanes,0,433,1443,0,0,0,0,0,0,433,0,1443,0,0,0,0,PH040000000,PH042100000,PH042112000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Cavite,Maragondon,0,376,1347,9,0,301,0,1062,0,75,17,285,49,0,0,0,PH040000000,PH042100000,PH042113000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Cavite,Mendez (MENDEZ-NUÑEZ),0,362,1335,10,0,131,0,500,0,231,0,835,0,0,0,0,PH040000000,PH042100000,PH042114000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Cavite,Naic,0,187,668,1,0,49,0,177,0,138,0,491,0,0,0,0,PH040000000,PH042100000,PH042115000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Cavite,Noveleta,0,16,56,1,0,16,0,56,0,0,0,0,0,0,0,0,PH040000000,PH042100000,PH042116000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Cavite,Rosario,0,120,500,0,0,0,0,0,0,120,28,500,107,0,0,0,PH040000000,PH042100000,PH042117000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Cavite,Silang,0,377,1485,7,0,80,0,245,0,2270,98,6503,417,0,0,0,PH040000000,PH042100000,PH042118000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Cavite,Tagaytay City,0,3421,12707,36,0,2202,0,8348,0,1219,0,4359,0,0,0,0,PH040000000,PH042100000,PH042119000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Cavite,Tanza,0,731,2711,3,0,151,0,636,0,580,55,2075,195,0,0,0,PH040000000,PH042100000,PH042120000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Cavite,Ternate,0,28,99,1,0,28,0,99,0,0,0,0,0,0,0,0,PH040000000,PH042100000,PH042121000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Cavite,Trece Martires City (capital),0,14556,50504,0,0,0,0,0,0,14556,48,50504,166,0,0,0,PH040000000,PH042100000,PH042122000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Laguna,Alaminos,0,709,2518,1,0,18,0,63,0,691,0,2455,0,0,0,0,PH040000000,PH043400000,PH043401000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Laguna,Bay,0,521,1949,1,0,53,0,193,0,468,0,1756,0,0,0,0,PH040000000,PH043400000,PH043402000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Laguna,Cabuyao,0,688,3482,1,0,40,0,247,0,648,0,3235,0,0,0,0,PH040000000,PH043400000,PH043404000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Laguna,City of Calamba,0,5370,19608,10,0,628,0,2215,0,4742,17,17393,79,0,0,0,PH040000000,PH043400000,PH043405000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Laguna,Cavinti,0,51,217,0,0,0,0,0,0,51,0,217,0,0,0,0,PH040000000,PH043400000,PH043407000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Laguna,Kalayaan,0,24,103,0,0,0,0,0,0,24,0,103,0,0,0,0,PH040000000,PH043400000,PH043409000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Laguna,Los Baños,0,304,1026,0,0,0,0,0,0,304,240,1026,810,0,0,0,PH040000000,PH043400000,PH043411000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Laguna,Magdalena,0,63,243,0,0,0,0,0,0,63,0,243,0,0,0,0,PH040000000,PH043400000,PH043415000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Laguna,Majayjay,0,62,229,0,0,0,0,0,0,62,22,229,83,0,0,0,PH040000000,PH043400000,PH043416000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Laguna,Nagcarlan,0,116,408,0,0,0,0,0,0,116,51,408,176,0,0,0,PH040000000,PH043400000,PH043417000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Laguna,Pakil,0,18,75,0,0,0,0,0,0,18,0,75,0,0,0,0,PH040000000,PH043400000,PH043420000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Laguna,Pila,0,154,551,0,0,0,0,0,0,154,142,551,503,0,0,0,PH040000000,PH043400000,PH043422000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Laguna,San Pablo City,0,289,1426,1,0,109,0,526,0,180,0,900,0,0,0,0,PH040000000,PH043400000,PH043424000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Laguna,Santa Cruz (capital),0,149,607,1,0,18,0,86,0,131,0,521,0,0,0,0,PH040000000,PH043400000,PH043426000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Laguna,City of Santa Rosa,0,136,504,1,0,11,0,39,0,125,0,465,0,0,0,0,PH040000000,PH043400000,PH043428000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Laguna,Siniloan,0,13,55,0,0,0,0,0,0,13,0,55,0,0,0,0,PH040000000,PH043400000,PH043429000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Quezon,Agdangan,0,18,70,0,0,0,0,0,0,18,0,70,0,0,0,0,PH040000000,PH045600000,PH045601000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Quezon,Atimonan,0,13,66,0,0,0,0,0,0,13,0,66,0,0,0,0,PH040000000,PH045600000,PH045603000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Quezon,Calauag,0,1,4,0,0,0,0,0,0,1,1,4,4,0,0,0,PH040000000,PH045600000,PH045607000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Quezon,Candelaria,0,878,3102,0,0,0,0,0,0,878,0,3102,0,0,0,0,PH040000000,PH045600000,PH045608000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Quezon,Catanauan,0,37,134,0,0,0,0,0,0,37,0,134,0,0,0,0,PH040000000,PH045600000,PH045610000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Quezon,Dolores,0,620,2368,6,1,182,20,695,32,455,0,1738,0,0,0,0,PH040000000,PH045600000,PH045615000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Quezon,General Luna,0,28,121,0,0,0,0,0,0,28,0,121,0,0,0,0,PH040000000,PH045600000,PH045616000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Quezon,Gumaca,0,19,67,0,0,0,0,0,0,19,0,67,0,0,0,0,PH040000000,PH045600000,PH045619000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Quezon,Infanta,0,12,45,0,0,0,0,0,0,12,12,45,45,0,0,0,PH040000000,PH045600000,PH045620000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Quezon,Lopez,0,9,47,0,0,0,0,0,0,9,0,47,0,0,0,0,PH040000000,PH045600000,PH045622000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Quezon,Lucban,0,29,91,0,0,0,0,0,0,29,0,91,0,0,0,0,PH040000000,PH045600000,PH045623000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Quezon,Lucena City (capital),0,266,1053,1,0,21,0,88,0,245,0,965,0,0,0,0,PH040000000,PH045600000,PH045624000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Quezon,Macalelon,0,4,18,0,0,0,0,0,0,4,0,18,0,0,0,0,PH040000000,PH045600000,PH045625000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Quezon,Mauban,0,44,170,0,0,0,0,0,0,44,5,170,22,0,0,0,PH040000000,PH045600000,PH045627000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Quezon,Mulanay,0,14,54,0,0,0,0,0,0,14,0,54,0,0,0,0,PH040000000,PH045600000,PH045628000
Taal Volcano Eruption,2020,12-Jan-20,REGION IV-A (CALABARZON),Quezon,Padre Burgos,0,28,93,0,0,0,0,0,0,28,0,93,0,0,0,0,PH040000000,PH045600000,PH045629000
